source_base,spec,variable,std_err,p_value,contrast,coef,direction,stars,sign_stars
mixed,spec_extended_1_spline,v2jureview_lag1,0.3611092314647047,0.3067794094266375,mixed_vs_contract,0.3690547721284773,reversed,,0
mixed,spec_extended_1_spline,v2jureview_lag1,0.3425987099628527,0.2262593178485661,expand_vs_mixed,0.4145619168639405,raw,,0
mixed,spec_extended_1_spline,v2jureview_lag1,0.3425987099628527,0.2262593178485661,mixed_vs_expand,-0.4145619168639405,reversed,,0
mixed,spec_extended_1_spline,legal_common,0.5137731738395619,0.2161037484889059,contract_vs_mixed,0.6355143528670925,raw,,0
mixed,spec_extended_1_spline,legal_common,0.5137731738395619,0.2161037484889059,mixed_vs_contract,-0.6355143528670925,reversed,,0
mixed,spec_extended_1_spline,legal_common,0.4274872146525459,0.0002511604401454,expand_vs_mixed,-1.5650622210712897,raw,***,-***
mixed,spec_extended_1_spline,legal_common,0.4274872146525459,0.0002511604401454,mixed_vs_expand,1.5650622210712897,reversed,***,+***
mixed,spec_extended_1_spline,legal_civil,0.4497530120580778,0.5250805474536264,contract_vs_mixed,0.2858330905301155,raw,,0
mixed,spec_extended_1_spline,legal_civil,0.4497530120580778,0.5250805474536264,mixed_vs_contract,-0.2858330905301155,reversed,,0
mixed,spec_extended_1_spline,legal_civil,0.3452536087273362,0.2360246333301056,expand_vs_mixed,-0.4091192511093551,raw,,0
mixed,spec_extended_1_spline,legal_civil,0.3452536087273362,0.2360246333301056,mixed_vs_expand,0.4091192511093551,reversed,,0
mixed,spec_extended_1_spline,high_court,0.2776586607301857,0.0834355578539764,contract_vs_mixed,-0.4806523735736387,raw,*,-*
mixed,spec_extended_1_spline,high_court,0.2776586607301857,0.0834355578539764,mixed_vs_contract,0.4806523735736387,reversed,*,+*
mixed,spec_extended_1_spline,high_court,0.17542476846238,0.22779470780316,expand_vs_mixed,-0.2115726364239739,raw,,0
mixed,spec_extended_1_spline,high_court,0.17542476846238,0.22779470780316,mixed_vs_expand,0.2115726364239739,reversed,,0
mixed,spec_extended_1_spline,j_ind_lag1,0.2805081353337461,0.8869166879747961,contract_vs_mixed,0.0398901546335005,raw,,0
mixed,spec_extended_1_spline,j_ind_lag1,0.2805081353337461,0.8869166879747961,mixed_vs_contract,-0.0398901546335005,reversed,,0
mixed,spec_extended_1_spline,j_ind_lag1,0.197775783202998,0.0678242728408657,expand_vs_mixed,0.3611727088407359,raw,*,+*
mixed,spec_extended_1_spline,j_ind_lag1,0.197775783202998,0.0678242728408657,mixed_vs_expand,-0.3611727088407359,reversed,*,-*
mixed,spec_extended_1_spline_interact,v2x_polyarchy_lag1,166.6334718934885,0.2763126810549347,contract_vs_mixed,181.40385875094145,raw,,0
mixed,spec_extended_1_spline_interact,v2x_polyarchy_lag1,166.6334718934885,0.2763126810549347,mixed_vs_contract,-181.40385875094145,reversed,,0
mixed,spec_extended_1_spline_interact,v2x_polyarchy_lag1,95.06784785548452,0.7761407926461186,expand_vs_mixed,27.032713705019205,raw,,0
mixed,spec_extended_1_spline_interact,v2x_polyarchy_lag1,95.06784785548452,0.7761407926461186,mixed_vs_expand,-27.032713705019205,reversed,,0
mixed,spec_extended_1_spline_interact,wdj_expression_lag1,0.5072209400777763,0.3084003741364778,contract_vs_mixed,0.5166472720905633,raw,,0
mixed,spec_extended_1_spline_interact,wdj_expression_lag1,0.5072209400777763,0.3084003741364778,mixed_vs_contract,-0.5166472720905633,reversed,,0
mixed,spec_extended_1_spline_interact,wdj_expression_lag1,0.3047759234549339,0.1995439413533,expand_vs_mixed,0.3909823949201088,raw,,0
mixed,spec_extended_1_spline_interact,wdj_expression_lag1,0.3047759234549339,0.1995439413533,mixed_vs_expand,-0.3909823949201088,reversed,,0
mixed,spec_extended_1_spline_interact,v2jureform_lag1,0.2332386179089116,0.3797426520244085,contract_vs_mixed,0.2048699369247475,raw,,0
mixed,spec_extended_1_spline_interact,v2jureform_lag1,0.2332386179089116,0.3797426520244085,mixed_vs_contract,-0.2048699369247475,reversed,,0
mixed,spec_extended_1_spline_interact,v2jureform_lag1,0.1803047533747088,0.2630787788343798,expand_vs_mixed,-0.2017869543779688,raw,,0
mixed,spec_extended_1_spline_interact,v2jureform_lag1,0.1803047533747088,0.2630787788343798,mixed_vs_expand,0.2017869543779688,reversed,,0
