spec,variable,contrast,coef_mean,coef_min,coef_max,std_err_mean,p_value_mean,n_versions,max_abs_diff,stars,coef_se
spec_c_pack,j_ind_lag1,expand_vs_mixed,0.391206917562897,0.3912069175628939,0.3912069175629001,0.1890892247365704,0.0385553621448716,2,6.217248937900877e-15,**,0.391** (0.189)
spec_c_pack,legal_civil,contract_vs_expand,0.41800333828874736,0.4180033382887451,0.4180033382887497,0.3443165533188227,0.2247443498206303,2,4.6074255521944e-15,,0.418 (0.344)
spec_c_pack,legal_civil,contract_vs_mixed,0.21259280637800998,0.2125928063780081,0.2125928063780119,0.42527841727972343,0.6171519074645817,2,3.802513859341161e-15,,0.213 (0.425)
spec_c_pack,legal_civil,expand_vs_mixed,-0.2054105319107375,-0.2054105319107408,-0.2054105319107342,0.3578241752746455,0.5659310089853288,2,6.6058269965196814e-15,,-0.205 (0.358)
spec_c_pack,legal_common,contract_vs_expand,1.865346273723542,1.86534627372354,1.865346273723544,0.36067749289321605,2.3186888202627993e-07,2,3.9968028886505635e-15,***,1.865*** (0.361)
spec_c_pack,legal_common,contract_vs_mixed,0.7387188503933965,0.7387188503933948,0.7387188503933981,0.4894647948778795,0.1312379817169389,2,3.3306690738754696e-15,,0.739 (0.489)
spec_c_pack,legal_common,expand_vs_mixed,-1.1266274233301448,-1.1266274233301488,-1.126627423330141,0.3854572370395064,0.00346861658384035,2,7.771561172376096e-15,***,-1.127*** (0.385)
spec_c_pack,v2jupack_lag1,contract_vs_expand,0.23525340604705142,0.23525340604705,0.2352534060470528,0.16163031578686335,0.145530066240847,2,2.8033131371785203e-15,,0.235 (0.162)
spec_c_pack,v2jupack_lag1,contract_vs_mixed,0.48768538249544857,0.4876853824954478,0.4876853824954493,0.24934491478925158,0.05048087467936465,2,1.4988010832439613e-15,*,0.488* (0.249)
spec_c_pack,v2jupack_lag1,expand_vs_mixed,0.25243197644839577,0.2524319764483939,0.2524319764483977,0.2215758604695534,0.2545957397846972,2,3.83026943495679e-15,,0.252 (0.222)
spec_c_pack,v2jureview_lag1,contract_vs_expand,-0.8678130060451881,-0.8678130060451898,-0.8678130060451862,0.3014818912573257,0.0039958228135994495,2,3.6637359812630166e-15,***,-0.868*** (0.301)
spec_c_pack,v2jureview_lag1,contract_vs_mixed,-0.4172666086102284,-0.4172666086102284,-0.4172666086102284,0.35579316495806995,0.240884603438123,2,0.0,,-0.417 (0.356)
spec_c_pack,v2jureview_lag1,expand_vs_mixed,0.45054639743496017,0.4505463974349574,0.450546397434963,0.35934097798538034,0.20990997502018854,2,5.6066262743570405e-15,,0.451 (0.359)
spec_c_pack,v2x_polyarchy_lag1,contract_vs_expand,-3.881589723965261,-3.881589723965282,-3.8815897239652406,1.2027618411302479,0.0012499471570911998,2,4.1300296516055823e-14,***,-3.882*** (1.203)
spec_c_pack,v2x_polyarchy_lag1,contract_vs_mixed,-7.000829603590899,-7.0008296035909146,-7.000829603590883,1.774877796746098,7.999972301600123e-05,2,3.197442310920451e-14,***,-7.001*** (1.775)
spec_c_pack,v2x_polyarchy_lag1,expand_vs_mixed,-3.119239879625629,-3.1192398796256606,-3.1192398796255976,1.2427554593223833,0.01207521604582825,2,6.306066779870889e-14,**,-3.119** (1.243)
spec_c_pack,wdj_citizen_lag1,contract_vs_expand,0.27160397579244877,0.2716039757924484,0.2716039757924491,0.4282966931015362,0.5259835016480275,2,7.216449660063518e-16,,0.272 (0.428)
spec_c_pack,wdj_citizen_lag1,contract_vs_mixed,0.8546583154292546,0.8546583154292539,0.8546583154292553,0.6345805385187357,0.17804199147958322,2,1.4432899320127035e-15,,0.855 (0.635)
spec_c_pack,wdj_citizen_lag1,expand_vs_mixed,0.583054339636806,0.583054339636806,0.583054339636806,0.41284367535303745,0.1578650563368883,2,0.0,,0.583 (0.413)
spec_c_pack_decision,high_court,contract_vs_expand,-0.3981142858379806,-0.3981142858379807,-0.3981142858379805,0.24797111976785624,0.1083867812084647,2,2.220446049250313e-16,,-0.398 (0.248)
spec_c_pack_decision,high_court,contract_vs_mixed,-0.4506148904731827,-0.4506148904731827,-0.4506148904731827,0.29654339456408363,0.12862209802485536,2,0.0,,-0.451 (0.297)
spec_c_pack_decision,high_court,expand_vs_mixed,-0.05250060463520215,-0.0525006046352022,-0.0525006046352021,0.1438661163169355,0.7151660318649868,2,1.0408340855860843e-16,,-0.053 (0.144)
spec_c_pack_decision,j_ind_lag1,contract_vs_expand,-0.15485650857950925,-0.15485650857951,-0.1548565085795085,0.2545227438098282,0.5429095211276467,2,1.4988010832439613e-15,,-0.155 (0.255)
spec_c_pack_decision,j_ind_lag1,contract_vs_mixed,0.24026493997775267,0.2402649399777525,0.2402649399777528,0.22998455742470436,0.2961614984230734,2,3.0531133177191805e-16,,0.240 (0.230)
spec_c_pack_decision,j_ind_lag1,expand_vs_mixed,0.39512144855726195,0.3951214485572611,0.3951214485572628,0.18277556951682034,0.0306347673976326,2,1.6653345369377348e-15,**,0.395** (0.183)
spec_c_pack_decision,legal_civil,contract_vs_expand,0.11016382814222304,0.1101638281422228,0.1101638281422233,0.3163701687262906,0.7276811212809637,2,4.996003610813204e-16,,0.110 (0.316)
spec_c_pack_decision,legal_civil,contract_vs_mixed,0.0021670088708716,0.0021670088708716,0.0021670088708716,0.40760704530492214,0.9957581332408044,2,0.0,,0.002 (0.408)
spec_c_pack_decision,legal_civil,expand_vs_mixed,-0.10799681927135155,-0.1079968192713519,-0.1079968192713512,0.2910007588142376,0.7105465743850155,2,6.938893903907228e-16,,-0.108 (0.291)
spec_c_pack_decision,legal_common,contract_vs_expand,1.4581458017534117,1.4581458017534106,1.4581458017534128,0.36357253395708433,6.0563373854916455e-05,2,2.220446049250313e-15,***,1.458*** (0.364)
spec_c_pack_decision,legal_common,contract_vs_mixed,0.5700692709049817,0.5700692709049813,0.570069270904982,0.4955629402629893,0.25000103878707375,2,7.771561172376096e-16,,0.570 (0.496)
spec_c_pack_decision,legal_common,expand_vs_mixed,-0.8880765308484307,-0.8880765308484316,-0.8880765308484299,0.3860174923193348,0.02141356396296745,2,1.7763568394002505e-15,**,-0.888** (0.386)
spec_c_pack_decision,v2jupack_lag1,contract_vs_expand,0.22037540786035992,0.2203754078603592,0.2203754078603606,0.17092938389129242,0.1973016320508646,2,1.4155343563970746e-15,,0.220 (0.171)
spec_c_pack_decision,v2jupack_lag1,contract_vs_mixed,0.4707470409144819,0.4707470409144813,0.4707470409144825,0.2578756647862208,0.0679285258178221,2,1.2212453270876722e-15,*,0.471* (0.258)
spec_c_pack_decision,v2jupack_lag1,expand_vs_mixed,0.250371633054122,0.2503716330541212,0.2503716330541228,0.23250024852368975,0.2815400952716067,2,1.609823385706477e-15,,0.250 (0.233)
spec_c_pack_decision,v2jureview_lag1,contract_vs_expand,-0.6948851839916137,-0.6948851839916144,-0.6948851839916129,0.2947438383587366,0.01839398615985175,2,1.4432899320127035e-15,**,-0.695** (0.295)
spec_c_pack_decision,v2jureview_lag1,contract_vs_mixed,-0.39649920767117613,-0.3964992076711762,-0.3964992076711761,0.35114748625165826,0.25883333249401363,2,1.1102230246251565e-16,,-0.396 (0.351)
