spec,variable,contrast,n_versions,sources,coef_min,coef_max,coef_mean,max_abs_diff,sign_patterns
spec_c_pack,v2x_polyarchy_lag1,expand_vs_contract,2,"contract, expand",3.8815897239652406,3.881589723965282,3.881589723965261,4.1300296516055823e-14,+***
spec_c_pack,v2x_polyarchy_lag1,contract_vs_expand,2,"contract, expand",-3.881589723965282,-3.8815897239652406,-3.881589723965261,4.1300296516055823e-14,-***
spec_extended_1_spline_interact,legal_common,mixed_vs_expand,2,"expand, mixed",1.675540777516891,1.6755407775169306,1.6755407775169107,3.9745984281580604e-14,+***
spec_extended_1_spline_interact,legal_common,expand_vs_mixed,2,"expand, mixed",-1.6755407775169306,-1.675540777516891,-1.6755407775169107,3.9745984281580604e-14,-***
spec_govprot_pack,v2x_polyarchy_lag1,expand_vs_contract,2,"contract, expand",3.801974440964909,3.801974440964948,3.8019744409649285,3.907985046680551e-14,+***
spec_govprot_pack,v2x_polyarchy_lag1,contract_vs_expand,2,"contract, expand",-3.801974440964948,-3.801974440964909,-3.8019744409649285,3.907985046680551e-14,-***
spec_extended_1_spline_interact,v2jureview_lag1,expand_vs_mixed,2,"expand, mixed",0.5479461962581504,0.5479461962581886,0.5479461962581695,3.8191672047105385e-14,0
spec_extended_1_spline_interact,v2jureview_lag1,mixed_vs_expand,2,"expand, mixed",-0.5479461962581886,-0.5479461962581504,-0.5479461962581695,3.8191672047105385e-14,0
spec_extended_2_spline_interact,high_court,mixed_vs_contract,2,"contract, mixed",0.5079215848709374,0.5079215848709752,0.5079215848709563,3.774758283725532e-14,+*
spec_extended_3_spline,v2x_polyarchy_lag1,expand_vs_contract,2,"contract, expand",3.465563529485582,3.4655635294856197,3.4655635294856006,3.774758283725532e-14,+***
spec_extended_3_spline,v2x_polyarchy_lag1,contract_vs_expand,2,"contract, expand",-3.4655635294856197,-3.465563529485582,-3.4655635294856006,3.774758283725532e-14,-***
spec_extended_2_spline_interact,high_court,contract_vs_mixed,2,"contract, mixed",-0.5079215848709752,-0.5079215848709374,-0.5079215848709563,3.774758283725532e-14,-*
spec_extended_1_spline_interact,v2jureview_lag1,mixed_vs_contract,2,"contract, mixed",0.2744822616270798,0.2744822616271168,0.2744822616270983,3.702593787124897e-14,0
spec_extended_1_spline_interact,v2jureview_lag1,contract_vs_mixed,2,"contract, mixed",-0.2744822616271168,-0.2744822616270798,-0.2744822616270983,3.702593787124897e-14,0
spec_extended_1_spline,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",-1.254729784239471,-1.254729784239435,-1.254729784239453,3.597122599785507e-14,0
spec_extended_1_spline,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",1.254729784239435,1.254729784239471,1.254729784239453,3.597122599785507e-14,0
spec_im_pack,v2x_polyarchy_lag1,expand_vs_contract,2,"contract, expand",3.87769572177659,3.8776957217766257,3.877695721776608,3.552713678800501e-14,+***
spec_im_pack,v2x_polyarchy_lag1,contract_vs_expand,2,"contract, expand",-3.8776957217766257,-3.87769572177659,-3.877695721776608,3.552713678800501e-14,-***
spec_im_attack,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",2.103162513913417,2.1031625139134515,2.1031625139134342,3.4638958368304884e-14,+**
spec_im_attack,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",-2.1031625139134515,-2.103162513913417,-2.1031625139134342,3.4638958368304884e-14,-**
spec_govprot_reform,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",-1.637558439036133,-1.637558439036099,-1.6375584390361162,3.397282455352979e-14,-*
spec_govprot_reform,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",1.637558439036099,1.637558439036133,1.6375584390361162,3.397282455352979e-14,+*
spec_extended_2_spline_interact,high_court,expand_vs_mixed,2,"expand, mixed",-0.1755484786010374,-0.1755484786010045,-0.17554847860102096,3.289035710452026e-14,0
spec_extended_2_spline_interact,high_court,mixed_vs_expand,2,"expand, mixed",0.1755484786010045,0.1755484786010374,0.17554847860102096,3.289035710452026e-14,0
