spec,variable,contract_vs_mixed,expand_vs_mixed,contract_vs_expand
spec_p_pack_decision,j_ind_lag1,0,+**,0
spec_p_pack_decision,legal_civil,0,0,0
spec_p_pack_decision,legal_common,0,-**,+***
spec_p_pack_decision,v2jupack_lag1,+*,0,0
spec_p_pack_decision,v2jureview_lag1,0,0,-**
spec_p_pack_decision,v2x_polyarchy_lag1,-***,-***,-***
spec_p_pack_decision,wdj_press_lag1,+**,0,+*
spec_p_reform,high_court,-*,0,-*
spec_p_reform,j_ind_lag1,0,+**,0
spec_p_reform,legal_civil,0,0,+*
spec_p_reform,legal_common,+**,-***,+***
spec_p_reform,v2jureform_lag1,0,0,+***
spec_p_reform,v2jureview_lag1,0,0,-***
spec_p_reform,v2x_polyarchy_lag1,-***,-***,-***
spec_p_reform,wdj_press_lag1,+***,+***,0
spec_p_reform_decision,high_court,0,0,0
spec_p_reform_decision,j_ind_lag1,0,+**,0
spec_p_reform_decision,legal_civil,0,0,0
spec_p_reform_decision,legal_common,+*,-**,+***
spec_p_reform_decision,v2jureform_lag1,0,0,+***
spec_p_reform_decision,v2jureview_lag1,0,0,-**
spec_p_reform_decision,v2x_polyarchy_lag1,-***,-***,-***
spec_p_reform_decision,wdj_press_lag1,+***,+**,+**
