variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se,source_base,source_base_label,outcome_short,base_short
v2jureform_lag1,-0.2017869543779688,Expands Expression,Expands Expression,0.1803047533747088,0.2630787788343798,spec_extended_1_spline_interact,Mixed Outcome,,-0.202 (0.18),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.2744822616270798,Contracts Expression,Contracts Expression,0.3632169894965291,0.4498304335554617,spec_extended_1_spline_interact,Mixed Outcome,,-0.274 (0.363),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.5479461962581886,Expands Expression,Expands Expression,0.3457258179520662,0.1129855418216741,spec_extended_1_spline_interact,Mixed Outcome,,0.548 (0.346),mixed,Mixed Outcome,expand,mixed
legal_common,0.6120593390294413,Contracts Expression,Contracts Expression,0.4895881737684199,0.2112442477894873,spec_extended_1_spline_interact,Mixed Outcome,,0.612 (0.49),mixed,Mixed Outcome,contract,mixed
legal_common,-1.675540777516891,Expands Expression,Expands Expression,0.4337835361906648,0.0001121776270187,spec_extended_1_spline_interact,Mixed Outcome,***,-1.676*** (0.434),mixed,Mixed Outcome,expand,mixed
legal_civil,0.3321469066625856,Contracts Expression,Contracts Expression,0.4420947510801021,0.4524706046689033,spec_extended_1_spline_interact,Mixed Outcome,,0.332 (0.442),mixed,Mixed Outcome,contract,mixed
legal_civil,-0.3919558650760342,Expands Expression,Expands Expression,0.3842605164433894,0.307715947966703,spec_extended_1_spline_interact,Mixed Outcome,,-0.392 (0.384),mixed,Mixed Outcome,expand,mixed
high_court,-0.4310810295120013,Contracts Expression,Contracts Expression,0.2808567316023623,0.1248136138613005,spec_extended_1_spline_interact,Mixed Outcome,,-0.431 (0.281),mixed,Mixed Outcome,contract,mixed
high_court,-0.2101893848848232,Expands Expression,Expands Expression,0.1723553121921153,0.2226498945943237,spec_extended_1_spline_interact,Mixed Outcome,,-0.21 (0.172),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.051766887889113,Contracts Expression,Contracts Expression,0.2789325931759312,0.8527668924605413,spec_extended_1_spline_interact,Mixed Outcome,,0.052 (0.279),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.4017855270141603,Expands Expression,Expands Expression,0.2082330152219357,0.053668865258322,spec_extended_1_spline_interact,Mixed Outcome,*,0.402* (0.208),mixed,Mixed Outcome,expand,mixed
wdj_expression_lag1,0.3171716406020479,Contracts Expression,Contracts Expression,0.2639589522052692,0.2295206508191545,spec_extended_2,Mixed Outcome,,0.317 (0.264),mixed,Mixed Outcome,contract,mixed
wdj_expression_lag1,0.0381546046738786,Expands Expression,Expands Expression,0.2360141724192122,0.8715717583893992,spec_extended_2,Mixed Outcome,,0.038 (0.236),mixed,Mixed Outcome,expand,mixed
v2jupoatck_lag1,0.2334491738798235,Contracts Expression,Contracts Expression,0.1276360693417583,0.0673963183691544,spec_extended_2,Mixed Outcome,*,0.233* (0.128),mixed,Mixed Outcome,contract,mixed
v2jupoatck_lag1,0.0399892285586039,Expands Expression,Expands Expression,0.1115849233405988,0.7200628210215491,spec_extended_2,Mixed Outcome,,0.04 (0.112),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-5.515180377852407,Contracts Expression,Contracts Expression,1.2979429438590335,2.145639261412546e-05,spec_extended_2,Mixed Outcome,***,-5.515*** (1.298),mixed,Mixed Outcome,contract,mixed
