,Intercept,wdj_expression_lag1,v2jupoatck_lag1
620,1.0,0.449074074,-4.26
622,1.0,0.449074074,-2.65
623,1.0,0.259259259,-2.509
624,1.0,0.0,2.621
625,1.0,0.0,2.621
626,1.0,0.305555556,2.621
627,1.0,0.305555556,2.621
628,1.0,0.305555556,2.621
629,1.0,0.458333333,-0.875
630,1.0,0.0,0.35
631,1.0,0.0,0.35
632,1.0,0.0,0.35
633,1.0,0.0,0.35
634,1.0,0.0,0.35
635,1.0,0.0,0.35
636,1.0,0.0,0.35
637,1.0,0.0,0.416
638,1.0,0.0,0.48
639,1.0,0.0,0.315
640,1.0,0.0,0.315
641,1.0,0.0,0.315
642,1.0,0.0,0.315
643,1.0,0.0,0.315
644,1.0,0.0,0.287
645,1.0,0.0,0.287
646,1.0,0.0,0.287
647,1.0,0.0,0.287
648,1.0,0.0,0.287
649,1.0,0.0,0.287
650,1.0,0.0,0.333
651,1.0,0.0,0.333
652,1.0,0.0,0.333
653,1.0,0.0,0.333
654,1.0,0.0,0.333
655,1.0,0.0,0.333
656,1.0,0.0,0.333
657,1.0,0.0,0.373
658,1.0,0.0,0.373
659,1.0,0.0,0.373
660,1.0,0.0,0.744
661,1.0,0.0,0.744
662,1.0,0.0,0.744
663,1.0,0.0,0.744
664,1.0,0.0,0.744
665,1.0,0.402777778,0.696
666,1.0,0.402777778,0.696
667,1.0,0.402777778,0.696
668,1.0,0.402777778,0.696
669,1.0,0.402777778,0.696
670,1.0,0.402777778,1.163
671,1.0,0.402777778,1.163
672,1.0,0.402777778,1.163
673,1.0,0.402777778,1.163
674,1.0,0.402777778,1.529
675,1.0,0.402777778,1.529
676,1.0,0.402777778,1.529
677,1.0,0.0,-1.421
678,1.0,0.0,0.174
679,1.0,0.0,0.174
680,1.0,0.0,0.174
681,1.0,0.0,0.174
682,1.0,0.0,0.174
683,1.0,0.0,0.174
684,1.0,0.0,0.174
685,1.0,0.0,0.174
686,1.0,0.0,0.174
687,1.0,0.0,0.174
688,1.0,0.0,0.174
689,1.0,0.0,0.174
690,1.0,0.0,0.048
691,1.0,0.0,0.143
692,1.0,0.0,0.367
693,1.0,0.0,-1.111
694,1.0,0.0,-1.111
695,1.0,0.0,-1.111
696,1.0,0.0,-1.111
697,1.0,0.0,-1.111
698,1.0,0.0,-1.111
699,1.0,0.0,-1.111
700,1.0,0.0,-1.111
701,1.0,0.0,-1.111
702,1.0,0.0,-1.111
703,1.0,0.0,-1.111
704,1.0,0.0,-1.486
705,1.0,0.0,-1.486
706,1.0,0.0,-0.525
707,1.0,0.0,-0.294
708,1.0,0.0,-0.294
709,1.0,0.0,-0.294
710,1.0,0.0,-1.744
711,1.0,0.0,-1.744
712,1.0,0.0,-1.744
713,1.0,0.0,-1.744
714,1.0,0.0,-1.744
715,1.0,0.0,-1.744
716,1.0,0.0,-1.744
717,1.0,0.0,-2.108
718,1.0,0.0,-2.108
719,1.0,0.0,-2.108
720,1.0,0.0,-2.108
721,1.0,0.0,-2.108
722,1.0,0.0,-2.108
723,1.0,0.0,-2.108
724,1.0,0.0,-2.108
725,1.0,0.0,-2.108
726,1.0,0.0,-2.108
727,1.0,0.0,-2.134
728,1.0,0.0,-2.134
729,1.0,0.0,-2.134
730,1.0,0.0,-2.134
731,1.0,0.0,-2.741
732,1.0,0.0,-2.741
733,1.0,0.0,-2.741
734,1.0,0.0,-2.658
735,1.0,0.0,-2.658
736,1.0,0.0,-2.658
737,1.0,0.619047619,-2.256
738,1.0,0.619047619,-2.256
739,1.0,0.619047619,-2.256
740,1.0,0.619047619,-2.256
741,1.0,0.619047619,-2.256
742,1.0,0.619047619,-2.017
743,1.0,0.619047619,-2.262
744,1.0,0.619047619,-2.262
745,1.0,0.619047619,-2.262
746,1.0,0.619047619,-2.262
747,1.0,0.619047619,-2.262
748,1.0,0.0,-1.289
749,1.0,0.0,-1.206
750,1.0,0.0,-1.206
751,1.0,0.0,-1.206
752,1.0,0.755555556,-1.283
753,1.0,0.755555556,-1.283
754,1.0,0.0,1.248
755,1.0,0.0,1.718
756,1.0,0.0,1.718
757,1.0,0.0,2.12
758,1.0,0.0,2.12
759,1.0,0.0,2.12
760,1.0,0.0,2.12
761,1.0,0.0,2.12
762,1.0,0.0,2.12
763,1.0,0.0,2.12
764,1.0,0.0,1.943
765,1.0,0.0,1.217
766,1.0,0.0,1.217
767,1.0,0.0,1.973
768,1.0,0.0,2.108
769,1.0,0.0,2.108
770,1.0,-0.666666667,2.108
771,1.0,0.0,1.7
772,1.0,0.0,2.229
773,1.0,0.0,2.229
774,1.0,0.0,2.229
775,1.0,0.0,2.229
776,1.0,0.0,0.863
777,1.0,0.0,1.487
778,1.0,0.0,1.487
779,1.0,0.0,1.487
780,1.0,0.0,1.036
781,1.0,0.0,1.036
782,1.0,0.0,1.036
783,1.0,0.0,1.036
784,1.0,0.0,1.036
785,1.0,0.0,1.036
786,1.0,0.0,1.036
787,1.0,0.0,1.036
788,1.0,0.0,1.036
789,1.0,0.0,1.036
790,1.0,0.0,1.036
791,1.0,0.0,1.036
792,1.0,0.0,1.036
793,1.0,0.0,1.036
794,1.0,0.0,1.036
795,1.0,0.0,1.036
796,1.0,0.0,1.036
797,1.0,0.0,1.036
798,1.0,0.0,1.036
799,1.0,0.0,1.036
800,1.0,0.0,1.036
801,1.0,0.0,1.036
802,1.0,0.0,1.036
803,1.0,0.0,1.036
804,1.0,0.0,1.036
805,1.0,0.0,1.036
806,1.0,0.0,1.036
807,1.0,0.0,1.036
808,1.0,0.0,1.036
809,1.0,0.0,1.036
810,1.0,0.0,1.036
811,1.0,0.0,1.036
812,1.0,0.0,1.036
813,1.0,0.0,1.036
814,1.0,0.0,1.036
815,1.0,0.0,1.036
816,1.0,0.0,1.036
817,1.0,0.0,1.036
818,1.0,0.0,1.036
819,1.0,0.0,1.036
820,1.0,0.0,1.036
821,1.0,0.0,1.036
822,1.0,0.0,1.036
823,1.0,0.0,1.036
824,1.0,0.0,1.036
825,1.0,0.0,1.036
826,1.0,0.0,1.036
827,1.0,0.0,1.036
828,1.0,0.0,1.036
829,1.0,0.0,1.036
830,1.0,0.0,1.036
831,1.0,0.0,1.036
832,1.0,0.0,1.036
833,1.0,0.0,1.036
834,1.0,0.0,1.036
835,1.0,0.0,1.036
836,1.0,0.0,1.036
837,1.0,0.0,1.036
838,1.0,0.0,1.036
839,1.0,0.0,1.036
840,1.0,0.0,1.036
841,1.0,0.0,1.036
842,1.0,0.0,1.036
843,1.0,0.0,1.036
844,1.0,0.0,1.036
845,1.0,0.0,1.036
846,1.0,0.0,1.036
847,1.0,0.0,1.036
848,1.0,0.0,1.036
849,1.0,0.0,1.036
850,1.0,0.0,1.036
851,1.0,0.0,1.036
852,1.0,0.0,1.036
853,1.0,0.0,1.036
854,1.0,0.0,1.036
855,1.0,0.0,1.036
856,1.0,0.0,1.036
857,1.0,0.0,1.036
858,1.0,0.0,1.036
859,1.0,0.0,1.036
860,1.0,0.0,1.036
861,1.0,0.0,1.036
862,1.0,0.0,1.036
863,1.0,0.0,1.036
864,1.0,0.0,1.036
865,1.0,0.0,1.036
866,1.0,0.0,1.036
867,1.0,0.0,1.036
868,1.0,0.0,1.036
869,1.0,0.0,1.036
870,1.0,0.0,1.036
871,1.0,1.0,0.721
872,1.0,1.0,0.721
873,1.0,1.0,0.721
874,1.0,1.0,0.721
875,1.0,1.0,0.721
876,1.0,1.0,0.721
877,1.0,1.0,0.721
878,1.0,1.0,0.721
879,1.0,1.0,0.721
880,1.0,1.0,0.721
881,1.0,1.0,0.721
882,1.0,1.0,0.721
883,1.0,1.0,0.721
884,1.0,1.0,0.721
885,1.0,1.0,0.721
886,1.0,1.0,0.721
887,1.0,1.0,0.721
888,1.0,1.0,0.721
889,1.0,1.0,0.721
890,1.0,1.0,0.721
891,1.0,1.0,0.721
892,1.0,1.0,0.721
893,1.0,1.0,0.721
894,1.0,1.0,0.721
895,1.0,1.0,0.013
896,1.0,1.0,0.013
897,1.0,1.0,0.013
898,1.0,1.0,0.013
899,1.0,1.0,0.013
900,1.0,1.0,0.013
901,1.0,1.0,0.013
902,1.0,1.0,0.013
903,1.0,1.0,0.013
904,1.0,1.0,0.013
905,1.0,1.0,0.013
906,1.0,1.0,0.013
907,1.0,1.0,0.013
908,1.0,1.0,0.013
909,1.0,1.0,0.013
910,1.0,1.0,-0.349
911,1.0,1.0,-0.349
912,1.0,1.0,-0.349
913,1.0,1.0,-0.349
914,1.0,1.0,-0.349
915,1.0,1.0,-0.349
916,1.0,1.0,-0.349
917,1.0,1.0,-0.349
918,1.0,1.0,-0.349
919,1.0,1.0,-0.349
920,1.0,1.0,-0.349
921,1.0,1.0,-0.349
922,1.0,1.0,-0.349
923,1.0,1.0,-0.349
924,1.0,1.0,-0.349
925,1.0,1.0,-0.349
926,1.0,1.0,-0.349
927,1.0,1.0,-0.349
928,1.0,1.0,-0.349
929,1.0,1.0,-0.349
930,1.0,1.0,-0.349
931,1.0,1.0,-0.349
