variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se
legal_common,-0.6355143528670896,Expands Expression,Expands Expression,0.5137731738395435,0.21610374848889158,spec_extended_1_spline,Mixed Outcome,,-0.636 (0.514)
legal_civil,-0.6949523416394682,Contracts Expression,Contracts Expression,0.3606894689994425,0.05401289957514856,spec_extended_1_spline,Mixed Outcome,*,-0.695* (0.361)
legal_civil,-0.28583309053011735,Expands Expression,Expands Expression,0.44975301205805873,0.5250805474536062,spec_extended_1_spline,Mixed Outcome,,-0.286 (0.45)
high_court,0.269079737149665,Contracts Expression,Contracts Expression,0.31649915836747083,0.39522768428393074,spec_extended_1_spline,Mixed Outcome,,0.269 (0.316)
high_court,0.48065237357363855,Expands Expression,Expands Expression,0.2776586607301406,0.08343555785392642,spec_extended_1_spline,Mixed Outcome,*,0.481* (0.278)
j_ind_lag1,0.3212825542072359,Contracts Expression,Contracts Expression,0.26752035533521984,0.22976482087073347,spec_extended_1_spline,Mixed Outcome,,0.321 (0.268)
j_ind_lag1,-0.0398901546335057,Expands Expression,Expands Expression,0.28050813533374025,0.8869166879747793,spec_extended_1_spline,Mixed Outcome,,-0.04 (0.281)
Intercept,72.52019396232708,Contracts Expression,Contracts Expression,53.85179560353971,0.1780889533970833,spec_extended_1_spline_interact,Mixed Outcome,,72.52 (53.852)
Intercept,98.18927711124158,Expands Expression,Expands Expression,88.72399552678826,0.2684313024544237,spec_extended_1_spline_interact,Mixed Outcome,,98.189 (88.724)
"bs(year, df=4)[0]",-39.770179982372,Contracts Expression,Contracts Expression,57.12387880254882,0.48629771712657555,spec_extended_1_spline_interact,Mixed Outcome,,-39.77 (57.124)
"bs(year, df=4)[0]",-127.87485714901463,Expands Expression,Expands Expression,89.67249100470328,0.1538622744626378,spec_extended_1_spline_interact,Mixed Outcome,,-127.875 (89.672)
"bs(year, df=4)[1]",-85.84785682720319,Contracts Expression,Contracts Expression,54.940772587775285,0.11815782277453986,spec_extended_1_spline_interact,Mixed Outcome,,-85.848 (54.941)
"bs(year, df=4)[1]",-93.28014382752127,Expands Expression,Expands Expression,89.34546214835436,0.29646736239559246,spec_extended_1_spline_interact,Mixed Outcome,,-93.28 (89.345)
"bs(year, df=4)[2]",-72.95318809453835,Contracts Expression,Contracts Expression,53.63004328654602,0.1737335915733106,spec_extended_1_spline_interact,Mixed Outcome,,-72.953 (53.63)
"bs(year, df=4)[2]",-103.39372192302335,Expands Expression,Expands Expression,88.85613420615817,0.2445828471460798,spec_extended_1_spline_interact,Mixed Outcome,,-103.394 (88.856)
"bs(year, df=4)[3]",-70.80324360225167,Contracts Expression,Contracts Expression,53.76544545618783,0.18787508656421303,spec_extended_1_spline_interact,Mixed Outcome,,-70.803 (53.765)
"bs(year, df=4)[3]",-92.69716200565782,Expands Expression,Expands Expression,89.49424631177867,0.3003005586038968,spec_extended_1_spline_interact,Mixed Outcome,,-92.697 (89.494)
v2x_polyarchy_lag1,-154.3711450460839,Contracts Expression,Contracts Expression,102.98758207191203,0.13389187166137909,spec_extended_1_spline_interact,Mixed Outcome,,-154.371 (102.988)
v2x_polyarchy_lag1,-181.4038587514762,Expands Expression,Expands Expression,166.63347130958206,0.2763126793706274,spec_extended_1_spline_interact,Mixed Outcome,,-181.404 (166.633)
"bs(year, df=4)[0]:v2x_polyarchy_lag1",130.74439160478477,Contracts Expression,Contracts Expression,114.33060990850737,0.25280441873165826,spec_extended_1_spline_interact,Mixed Outcome,,130.744 (114.331)
"bs(year, df=4)[0]:v2x_polyarchy_lag1",231.13273207108176,Expands Expression,Expands Expression,185.12714610362693,0.2118450624778675,spec_extended_1_spline_interact,Mixed Outcome,,231.133 (185.127)
"bs(year, df=4)[1]:v2x_polyarchy_lag1",170.2448193266974,Contracts Expression,Contracts Expression,101.66779236427826,0.09402831644469271,spec_extended_1_spline_interact,Mixed Outcome,*,170.245* (101.668)
"bs(year, df=4)[1]:v2x_polyarchy_lag1",173.70228785181274,Expands Expression,Expands Expression,162.63843665699204,0.2855082044115388,spec_extended_1_spline_interact,Mixed Outcome,,173.702 (162.638)
