row_id,case_id,indep1,indep2,attack1,attack2,attack3,attack4,attack5,dejure1,dejure2,dejure3,dejure4,dejure5,dejure6,full1,full2,full3,full4
92,Chile_2019_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
93,Chile_2020_05,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
94,Chile_2021_08,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
95,Chile_2022_03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
96,Chile_2023_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
97,El Salvador_2014_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
98,El Salvador_2015_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
99,El Salvador_2016_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
100,El Salvador_2017_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
101,Eswatini_2014_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
102,Eswatini_2015_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
103,Eswatini_2016_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
104,Ethiopia_2015_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
105,Ethiopia_2017_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
106,Ethiopia_2021_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
107,Ethiopia_2022_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
108,Ethiopia_2023_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
109,Fiji_2018_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
110,France_1986_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
111,France_1998_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
112,France_1999_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
113,France_2003_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
114,France_2004_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
115,France_2006_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
116,France_2007_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
117,France_2008_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
118,France_2009_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
119,France_2010_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
120,France_2014_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
121,France_2015_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
122,France_2016_06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
123,France_2017_03,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
124,France_2018_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
125,France_2019_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
126,France_2020_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
127,France_2021_02,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
128,France_2022_03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
