,Intercept,wdj_citizen_lag1,v2jureform_lag1,v2x_polyarchy_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1,mode_electronic_internet,mode_press_newspapers,mode_public_speech,mode_public_documents,mode_audio_visual_broadcasting,mode_public_assembly,mode_non_verbal_expression,defendant_citizen,defendant_press,defendant_government,defendant_intermediary,defendant_unclear
63,1.0,0.0,0.056,0.826,1.901,1.0,0.0,0.0,2.289,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,1.0,0.0,0.056,0.826,1.901,1.0,0.0,1.0,2.199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
65,1.0,0.0,0.056,0.811,1.901,1.0,0.0,1.0,2.199,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66,1.0,0.0,0.056,0.81,1.901,1.0,0.0,0.0,2.289,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67,1.0,0.0,-0.053,0.817,1.901,1.0,0.0,1.0,2.199,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
68,1.0,0.0,-0.053,0.814,1.901,1.0,0.0,0.0,2.289,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
69,1.0,0.0,0.027,0.807,1.901,1.0,0.0,0.0,2.289,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
70,1.0,0.0,0.027,0.834,1.901,1.0,0.0,0.0,2.289,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
71,1.0,0.0,0.027,0.839,1.901,1.0,0.0,1.0,2.199,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72,1.0,0.777777778,0.027,0.84,1.901,1.0,0.0,1.0,2.199,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
73,1.0,0.777777778,0.027,0.85,1.901,1.0,0.0,1.0,2.199,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1.0,0.777777778,0.027,0.849,1.901,1.0,0.0,0.0,2.289,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
75,1.0,0.777777778,0.485,0.848,0.853,1.0,0.0,1.0,1.873,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
76,1.0,0.777777778,0.485,0.841,0.853,1.0,0.0,0.0,2.903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
81,1.0,1.0,0.512,0.894,1.753,0.0,1.0,1.0,1.565,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
82,1.0,1.0,0.512,0.894,1.753,0.0,1.0,1.0,1.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
83,1.0,1.0,0.512,0.887,1.753,0.0,1.0,1.0,1.565,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1.0,1.0,0.512,0.889,1.753,0.0,1.0,0.0,2.224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
85,1.0,1.0,0.512,0.893,1.753,0.0,1.0,1.0,1.565,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
88,1.0,1.0,0.03,0.886,1.753,0.0,1.0,1.0,1.598,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
89,1.0,1.0,-0.048,0.886,1.753,0.0,1.0,0.0,2.501,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
90,1.0,1.0,-0.048,0.889,1.753,0.0,1.0,1.0,1.598,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
91,1.0,1.0,-0.048,0.87,1.753,0.0,1.0,1.0,1.598,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
92,1.0,1.0,-0.048,0.829,1.753,0.0,1.0,1.0,1.598,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93,1.0,1.0,-0.15,0.837,1.753,0.0,1.0,0.0,2.222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
