,Intercept,"bs(year, df=4)[0]","bs(year, df=4)[1]","bs(year, df=4)[2]","bs(year, df=4)[3]",v2x_polyarchy_lag1,"bs(year, df=4)[0]:v2x_polyarchy_lag1","bs(year, df=4)[1]:v2x_polyarchy_lag1","bs(year, df=4)[2]:v2x_polyarchy_lag1","bs(year, df=4)[3]:v2x_polyarchy_lag1",wdj_expression_lag1,v2jupoatck_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1
189,1.0,0.008433985839233651,0.16680549770928776,0.8247605164514784,0.0,0.37,0.0031205747605164507,0.06171803415243647,0.305161391087047,0.0,0.711111111,0.1,-0.484,0.0,0.0,0.0,-0.176
191,1.0,0.26923693692902934,0.4521855793684416,0.24027792726813263,0.0,0.081,0.021808191891251376,0.03662703192884377,0.019462512108718744,0.0,0.0,1.359,-0.104,0.0,0.0,0.0,-0.975
192,1.0,0.035709913821129854,0.2950360602284502,0.6689476294989446,0.0,0.655,0.023389993552840056,0.1932486194496349,0.43816069732180873,0.0,0.0,1.39,1.036,0.0,0.0,1.0,1.874
193,1.0,0.0115538076401124,0.19117397376981912,0.7972708000879785,0.0,0.656,0.007579297811913735,0.12541012679300134,0.5230096448577138,0.0,0.0,1.39,1.036,0.0,0.0,0.0,1.555
194,1.0,0.0024989587671803413,0.09024017770373455,0.8702238264920481,0.037037037037037035,0.682,0.001704289879216993,0.061543801193946965,0.5934926496675769,0.02525925925925926,0.0,1.39,1.036,0.0,0.0,1.0,1.406
196,1.0,1.156925355176084e-05,0.0032522457206616583,0.29440422343456574,0.7023319615912208,0.685,7.924938682956177e-06,0.0022277883186532363,0.20166689305267754,0.4810973936899863,0.0,0.472,1.67,0.0,0.0,1.0,1.257
199,1.0,0.024429111707718425,0.2570002104812512,0.71847989367726,0.0,0.481,0.011750402731412563,0.12361710124148183,0.345588828858762,0.0,0.0,-0.067,1.421,0.0,0.0,0.0,0.586
200,1.0,0.019574630522934858,0.23624956167266287,0.7441375082479678,0.0,0.506,0.009904763044605039,0.11954227820636741,0.3765335791734717,0.0,0.0,-0.067,1.421,0.0,0.0,0.0,0.586
201,1.0,0.008433985839233651,0.16680549770928776,0.8247605164514784,0.0,0.554,0.004672428154935443,0.09241024573094543,0.45691732611411906,0.0,0.953703704,0.188,1.421,0.0,0.0,0.0,0.677
203,1.0,0.0024989587671803413,0.09024017770373455,0.8702238264920481,0.037037037037037035,0.555,0.0013869221157850895,0.050083298625572675,0.48297422370308674,0.020555555555555556,0.907407407,0.057,1.421,0.0,0.0,0.0,0.879
204,1.0,0.0014461566939701052,0.0663946606609386,0.8443676874461886,0.0877914951989026,0.52,0.0007520014808644548,0.034525223543688074,0.4390711974720181,0.04565157750342935,0.907407407,-0.265,1.421,0.0,0.0,0.0,0.879
206,1.0,0.00031236984589754266,0.026586144661946406,0.6768051891958596,0.2962962962962963,0.488,0.0001524364847980008,0.012974038595029847,0.3302809323275795,0.14459259259259258,0.907407407,-0.161,1.421,0.0,0.0,0.0,0.842
209,1.0,0.09837952640095558,0.4041661984777731,0.4935619053858645,0.0,0.203,0.019971043859393984,0.08204573829098794,0.1001930667933305,0.0,0.0,-1.336,0.765,0.0,0.0,0.0,-0.662
210,1.0,0.035709913821129854,0.2950360602284502,0.6689476294989446,0.0,0.451,0.016105171133329564,0.13306126316303105,0.30169538090402404,0.0,0.0,-1.444,1.109,0.0,0.0,1.0,-0.011
211,1.0,0.019574630522934858,0.23624956167266287,0.7441375082479678,0.0,0.466,0.009121777823687643,0.1100922957394609,0.346768078843553,0.0,0.0,-2.535,1.579,0.0,0.0,0.0,-0.141
212,1.0,0.015275109184206161,0.21431473892989816,0.7703988038691744,0.0,0.47,0.007179301316576896,0.10072792729705213,0.36208743781851194,0.0,0.0,-1.141,1.579,0.0,0.0,0.0,-0.164
213,1.0,0.0115538076401124,0.19117397376981912,0.7972708000879785,0.0,0.469,0.005418735783212715,0.08966059369804516,0.3739200052412619,0.0,0.0,-1.141,1.579,0.0,0.0,0.0,-0.164
214,1.0,0.003968253968253968,0.11552028218694886,0.8695375269449344,0.010973936899862825,0.419,0.0016626984126984126,0.04840299823633157,0.36433622378992747,0.004598079561042524,0.0,-1.253,1.757,0.0,0.0,1.0,0.697
215,1.0,0.0024989587671803413,0.09024017770373455,0.8702238264920481,0.037037037037037035,0.395,0.0009870887130362348,0.035644870192975145,0.343738411464359,0.01462962962962963,0.0,-1.177,1.757,0.0,0.0,0.0,-0.23
216,1.0,0.0014461566939701052,0.0663946606609386,0.8443676874461886,0.0877914951989026,0.368,0.0005321856633809987,0.024433235123225407,0.3107273089801974,0.032307270233196156,0.0,-0.642,1.757,0.0,0.0,1.0,0.001
219,1.0,0.25811774169842494,0.4545827152670312,0.2527036955575626,0.0,0.235,0.06065766929912986,0.10682693808775233,0.05938536845602721,0.0,0.0,-0.033,1.298,0.0,0.0,1.0,-0.337
220,1.0,0.23575321473471508,0.45750063846330075,0.27882577016130916,0.0,0.552,0.13013577453356273,0.25254035243174205,0.15391182512904267,0.0,0.0,-0.204,1.298,0.0,0.0,1.0,0.474
221,1.0,0.05621181712215668,0.3437527424213736,0.5990013524327411,0.0,0.463,0.026026071327558544,0.159157519741096,0.27733762617635915,0.0,0.0,0.015,1.298,0.0,0.0,1.0,0.488
222,1.0,0.015275109184206161,0.21431473892989816,0.7703988038691744,0.0,0.521,0.00795833188497141,0.11165797898247695,0.40137777681583986,0.0,0.0,0.132,1.821,0.0,0.0,1.0,0.94
