,Intercept,wdj_expression_lag1,v2jupack_lag1
376,1.0,1.0,1.733
377,1.0,1.0,1.484
378,1.0,1.0,1.484
379,1.0,1.0,1.484
380,1.0,1.0,1.484
381,1.0,1.0,1.484
382,1.0,0.0,1.977
383,1.0,0.746031746,1.977
384,1.0,0.746031746,1.977
385,1.0,0.746031746,1.977
386,1.0,0.40530303,-0.835
387,1.0,0.40530303,-0.972
388,1.0,0.40530303,-0.836
389,1.0,0.40530303,-0.836
390,1.0,0.40530303,-0.836
391,1.0,0.500992063,-1.49
392,1.0,0.500992063,-0.83
393,1.0,0.0,-1.364
394,1.0,0.0,-0.914
395,1.0,0.0,-0.914
396,1.0,0.0,-0.914
397,1.0,0.0,-0.914
398,1.0,-0.222222222,0.579
399,1.0,-0.222222222,1.242
400,1.0,-0.222222222,1.131
401,1.0,-0.222222222,1.131
402,1.0,-0.222222222,0.984
403,1.0,0.0,-2.384
404,1.0,0.0,-2.773
405,1.0,0.0,-1.995
406,1.0,0.0,-1.995
407,1.0,0.0,-0.209
408,1.0,0.0,0.264
409,1.0,0.0,0.886
410,1.0,0.0,-0.103
411,1.0,0.0,0.336
412,1.0,0.0,-0.679
413,1.0,0.0,1.834
414,1.0,0.0,1.834
415,1.0,0.0,1.834
416,1.0,0.0,1.834
417,1.0,0.0,1.834
418,1.0,0.0,1.834
419,1.0,0.0,1.834
420,1.0,0.0,1.834
421,1.0,0.0,1.834
422,1.0,0.0,1.834
423,1.0,0.0,1.834
424,1.0,0.944444444,1.834
425,1.0,0.944444444,1.834
426,1.0,0.944444444,1.834
427,1.0,1.0,1.834
428,1.0,0.685185185,-0.869
429,1.0,0.685185185,-0.798
430,1.0,0.685185185,-1.255
431,1.0,0.055555556,-1.729
432,1.0,0.475308642,-1.972
433,1.0,0.0,1.309
434,1.0,0.0,1.858
435,1.0,0.0,1.858
436,1.0,0.0,1.858
437,1.0,0.0,1.858
438,1.0,0.0,1.858
439,1.0,0.0,1.858
440,1.0,0.0,1.858
441,1.0,0.0,1.858
442,1.0,0.0,1.858
443,1.0,0.0,1.667
444,1.0,0.0,1.667
445,1.0,0.0,1.667
