variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se
legal_common,-1.6755407775168907,Expands Expression,Expands Expression,0.43378353619066484,0.00011217762701879993,spec_extended_1_spline_interact,Mixed Outcome,***,-1.676*** (0.434)
legal_civil,0.3321469066625856,Contracts Expression,Contracts Expression,0.4420947510801021,0.4524706046689033,spec_extended_1_spline_interact,Mixed Outcome,,0.332 (0.442)
legal_civil,-0.39195586507603425,Expands Expression,Expands Expression,0.3842605164433894,0.307715947966703,spec_extended_1_spline_interact,Mixed Outcome,,-0.392 (0.384)
high_court,-0.4310810295120013,Contracts Expression,Contracts Expression,0.28085673160236235,0.12481361386130058,spec_extended_1_spline_interact,Mixed Outcome,,-0.431 (0.281)
high_court,-0.21018938488482328,Expands Expression,Expands Expression,0.17235531219211533,0.22264989459432372,spec_extended_1_spline_interact,Mixed Outcome,,-0.21 (0.172)
j_ind_lag1,0.05176688788911306,Contracts Expression,Contracts Expression,0.2789325931759312,0.8527668924605413,spec_extended_1_spline_interact,Mixed Outcome,,0.052 (0.279)
j_ind_lag1,0.40178552701416037,Expands Expression,Expands Expression,0.2082330152219357,0.05366886525832207,spec_extended_1_spline_interact,Mixed Outcome,*,0.402* (0.208)
Intercept,3.8041098095765102,Contracts Expression,Contracts Expression,0.7618739124887164,5.941891285732427e-07,spec_extended_2,Mixed Outcome,***,3.804*** (0.762)
Intercept,1.682643255223275,Expands Expression,Expands Expression,0.5993811102678709,0.004995851960927123,spec_extended_2,Mixed Outcome,***,1.683*** (0.599)
wdj_expression_lag1,0.31717164060204794,Contracts Expression,Contracts Expression,0.26395895220526927,0.22952065081915451,spec_extended_2,Mixed Outcome,,0.317 (0.264)
wdj_expression_lag1,0.038154604673878635,Expands Expression,Expands Expression,0.23601417241921221,0.8715717583893992,spec_extended_2,Mixed Outcome,,0.038 (0.236)
v2jupoatck_lag1,0.23344917387982358,Contracts Expression,Contracts Expression,0.12763606934175833,0.06739631836915448,spec_extended_2,Mixed Outcome,*,0.233* (0.128)
v2jupoatck_lag1,0.03998922855860399,Expands Expression,Expands Expression,0.11158492334059887,0.7200628210215491,spec_extended_2,Mixed Outcome,,0.04 (0.112)
v2x_polyarchy_lag1,-5.515180377852407,Contracts Expression,Contracts Expression,1.2979429438590337,2.145639261412546e-05,spec_extended_2,Mixed Outcome,***,-5.515*** (1.298)
v2x_polyarchy_lag1,-2.122720784015016,Expands Expression,Expands Expression,0.9134026718971984,0.020127079879603747,spec_extended_2,Mixed Outcome,**,-2.123** (0.913)
v2jureview_lag1,-0.2842011759360449,Contracts Expression,Contracts Expression,0.36386509170463893,0.434766063084855,spec_extended_2,Mixed Outcome,,-0.284 (0.364)
v2jureview_lag1,0.48879641828724646,Expands Expression,Expands Expression,0.35067826818480236,0.16335987897268323,spec_extended_2,Mixed Outcome,,0.489 (0.351)
