,Intercept,wdj_expression_lag1,v2jureform_lag1
301,1.0,0.0,0.081
302,1.0,0.0,-0.274
303,1.0,0.0,-2.521
304,1.0,0.0,-2.257
305,1.0,0.0,-1.982
306,1.0,0.0,-2.448
307,1.0,0.0,-3.281
308,1.0,0.0,-2.6
309,1.0,0.0,-1.548
310,1.0,0.619047619,-1.36
311,1.0,0.619047619,-1.36
312,1.0,0.619047619,-1.36
313,1.0,0.619047619,-1.36
314,1.0,0.0,0.951
315,1.0,0.0,0.174
316,1.0,0.0,-0.13
317,1.0,0.0,-0.047
318,1.0,0.0,-0.047
319,1.0,0.0,-0.226
320,1.0,0.0,0.06
321,1.0,0.755555556,0.06
322,1.0,0.0,-0.327
323,1.0,0.0,-1.141
324,1.0,0.0,-0.805
325,1.0,0.0,-0.073
326,1.0,0.0,-0.073
327,1.0,0.0,-0.073
328,1.0,0.0,-0.065
329,1.0,0.0,-0.065
330,1.0,0.0,-0.065
331,1.0,0.0,-0.065
332,1.0,0.0,-0.065
333,1.0,0.0,-0.065
334,1.0,0.0,0.215
335,1.0,0.0,-0.826
336,1.0,0.0,-0.826
337,1.0,0.0,-0.826
338,1.0,0.0,0.67
339,1.0,0.0,0.67
340,1.0,0.0,0.67
341,1.0,0.0,0.67
342,1.0,0.0,0.67
343,1.0,0.0,-0.059
344,1.0,0.0,-0.059
345,1.0,0.0,-0.059
346,1.0,0.0,-0.059
347,1.0,0.0,-0.059
348,1.0,0.0,-0.059
349,1.0,0.0,-0.059
350,1.0,0.0,-0.059
351,1.0,0.0,-0.059
352,1.0,0.0,-0.059
353,1.0,0.0,-0.059
354,1.0,0.0,-0.059
355,1.0,-0.666666667,-0.059
356,1.0,-0.666666667,-0.059
357,1.0,0.0,-0.059
358,1.0,0.0,-0.059
359,1.0,0.0,-0.059
360,1.0,0.0,-0.059
361,1.0,0.0,-0.307
362,1.0,0.0,-0.307
363,1.0,0.0,-0.307
364,1.0,0.0,-0.307
365,1.0,0.0,-0.307
366,1.0,0.0,-0.307
367,1.0,0.0,0.276
368,1.0,0.0,0.276
369,1.0,0.0,0.276
370,1.0,0.0,0.228
371,1.0,0.0,0.228
372,1.0,0.0,0.228
373,1.0,1.0,0.228
374,1.0,1.0,0.422
375,1.0,1.0,0.422
376,1.0,1.0,0.422
377,1.0,1.0,-0.159
378,1.0,1.0,-0.159
379,1.0,1.0,-0.159
380,1.0,1.0,-0.159
381,1.0,1.0,-0.519
382,1.0,0.0,-0.091
383,1.0,0.746031746,-0.363
384,1.0,0.746031746,-0.363
385,1.0,0.746031746,-0.941
386,1.0,0.40530303,-1.963
387,1.0,0.40530303,-3.19
388,1.0,0.40530303,-3.19
389,1.0,0.40530303,-2.531
390,1.0,0.40530303,-2.354
391,1.0,0.500992063,-0.965
392,1.0,0.500992063,-1.103
393,1.0,0.0,1.285
394,1.0,0.0,1.285
395,1.0,0.0,1.285
396,1.0,0.0,1.285
397,1.0,0.0,1.285
398,1.0,-0.222222222,0.644
399,1.0,-0.222222222,1.152
400,1.0,-0.222222222,1.283
401,1.0,-0.222222222,1.283
402,1.0,-0.222222222,0.401
403,1.0,0.0,-1.065
404,1.0,0.0,-2.462
405,1.0,0.0,-2.462
406,1.0,0.0,-2.462
407,1.0,0.0,-1.011
408,1.0,0.0,-1.148
409,1.0,0.0,-1.148
410,1.0,0.0,-1.788
411,1.0,0.0,-2.989
412,1.0,0.0,-1.266
413,1.0,0.0,0.845
414,1.0,0.0,0.455
415,1.0,0.0,0.455
416,1.0,0.0,0.455
417,1.0,0.0,0.455
418,1.0,0.0,0.455
419,1.0,0.0,0.455
420,1.0,0.0,0.455
421,1.0,0.0,0.455
422,1.0,0.0,0.455
423,1.0,0.0,0.455
424,1.0,0.944444444,0.211
425,1.0,0.944444444,0.211
426,1.0,0.944444444,0.211
427,1.0,1.0,0.211
428,1.0,0.685185185,-1.009
429,1.0,0.685185185,-1.103
430,1.0,0.685185185,-0.909
431,1.0,0.055555556,-0.852
432,1.0,0.475308642,-0.982
433,1.0,0.0,0.883
434,1.0,0.0,0.056
435,1.0,0.0,0.056
436,1.0,0.0,0.056
437,1.0,0.0,0.056
438,1.0,0.0,0.056
439,1.0,0.0,0.056
440,1.0,0.0,0.056
441,1.0,0.0,0.056
442,1.0,0.0,0.056
443,1.0,0.0,0.056
444,1.0,0.0,0.056
445,1.0,0.0,0.056
446,1.0,0.0,0.056
447,1.0,0.0,0.056
448,1.0,0.0,0.056
449,1.0,0.0,0.056
450,1.0,0.0,-0.053
451,1.0,0.0,-0.053
452,1.0,0.0,-0.053
453,1.0,0.0,-0.053
454,1.0,0.0,-0.053
455,1.0,0.0,-0.053
456,1.0,0.0,-0.053
457,1.0,0.0,-0.053
458,1.0,0.0,0.027
459,1.0,0.0,0.027
460,1.0,0.0,0.027
461,1.0,0.0,0.027
462,1.0,0.0,0.027
463,1.0,0.0,0.027
464,1.0,0.0,0.027
465,1.0,0.0,0.027
466,1.0,0.777777778,0.027
467,1.0,0.777777778,0.027
468,1.0,0.777777778,0.027
469,1.0,0.777777778,0.027
470,1.0,0.777777778,0.027
471,1.0,0.777777778,0.027
472,1.0,0.777777778,0.027
473,1.0,0.920634921,1.301
474,1.0,0.920634921,0.03
475,1.0,0.920634921,0.03
476,1.0,0.920634921,-0.048
477,1.0,0.920634921,-0.048
478,1.0,0.920634921,-0.048
479,1.0,0.920634921,-0.048
480,1.0,0.920634921,-0.048
481,1.0,0.920634921,-0.048
482,1.0,0.920634921,-0.15
483,1.0,0.920634921,-0.15
484,1.0,0.920634921,-0.15
485,1.0,0.920634921,-0.15
486,1.0,0.920634921,-0.15
487,1.0,0.920634921,-0.15
488,1.0,0.920634921,-0.15
489,1.0,0.920634921,-0.058
490,1.0,0.920634921,-0.058
491,1.0,0.920634921,-0.058
492,1.0,0.920634921,-0.058
493,1.0,0.908119658,-0.055
494,1.0,0.900966184,-0.055
495,1.0,0.0,-2.359
496,1.0,0.0,1.13
497,1.0,0.0,0.503
498,1.0,0.0,0.503
499,1.0,0.0,0.872
500,1.0,0.0,2.042
501,1.0,0.0,0.887
502,1.0,0.0,0.887
503,1.0,0.0,0.887
504,1.0,0.0,0.887
505,1.0,0.0,0.887
506,1.0,0.0,0.887
507,1.0,0.0,0.887
508,1.0,0.0,0.887
509,1.0,0.0,0.887
510,1.0,0.0,0.887
511,1.0,0.0,0.887
512,1.0,0.0,0.887
513,1.0,0.0,0.887
514,1.0,0.0,0.887
515,1.0,0.0,0.887
516,1.0,0.0,0.887
517,1.0,0.0,0.887
518,1.0,0.0,0.887
519,1.0,0.62962963,0.887
520,1.0,0.62962963,0.887
521,1.0,0.62962963,-0.204
522,1.0,0.62962963,-0.204
523,1.0,0.62962963,-0.204
524,1.0,0.62962963,-0.204
525,1.0,0.62962963,-0.204
526,1.0,0.62962963,0.641
527,1.0,0.62962963,0.641
528,1.0,0.62962963,0.641
529,1.0,0.62962963,-0.198
530,1.0,0.62962963,-0.198
531,1.0,0.62962963,-0.198
532,1.0,0.62962963,-0.198
533,1.0,0.62962963,-0.198
534,1.0,0.62962963,-0.198
535,1.0,0.62962963,-0.198
536,1.0,0.62962963,-0.198
537,1.0,0.393162393,-0.7
538,1.0,0.0,0.87
539,1.0,0.0,0.87
540,1.0,0.0,-2.764
541,1.0,0.393939394,-1.012
542,1.0,0.393939394,-1.012
543,1.0,0.393939394,-1.012
544,1.0,0.393939394,-1.012
545,1.0,0.393939394,-1.012
546,1.0,0.393939394,-0.676
547,1.0,0.393939394,-0.676
548,1.0,0.393939394,-0.676
549,1.0,0.393939394,-0.676
550,1.0,0.393939394,-0.676
551,1.0,0.393939394,-0.676
552,1.0,0.393939394,-0.676
553,1.0,0.393939394,-1.653
554,1.0,0.393939394,-0.649
555,1.0,0.393939394,-0.649
556,1.0,0.494152047,-0.642
557,1.0,0.494152047,-0.642
558,1.0,0.447089947,1.189
559,1.0,0.447089947,1.189
560,1.0,0.0,-0.2
561,1.0,0.873015873,-0.2
562,1.0,0.873015873,-0.2
563,1.0,0.873015873,-0.2
564,1.0,0.873015873,-0.2
565,1.0,0.873015873,-0.2
566,1.0,0.0,1.49
567,1.0,0.0,1.49
568,1.0,0.777777778,1.472
569,1.0,0.777777778,1.472
570,1.0,0.777777778,1.566
571,1.0,0.851851852,1.331
572,1.0,0.851851852,1.331
573,1.0,0.0,0.071
574,1.0,0.633986928,-0.93
575,1.0,0.633986928,-0.93
576,1.0,0.633986928,-0.607
577,1.0,0.633986928,-0.607
578,1.0,0.633986928,-0.607
579,1.0,0.763888889,-0.011
580,1.0,0.763888889,-0.011
581,1.0,0.711111111,0.581
582,1.0,0.711111111,0.581
583,1.0,0.711111111,0.581
584,1.0,0.711111111,0.581
585,1.0,0.711111111,0.581
586,1.0,0.711111111,0.581
587,1.0,0.711111111,0.581
588,1.0,0.711111111,0.581
589,1.0,0.711111111,0.581
590,1.0,0.711111111,0.581
591,1.0,0.711111111,0.323
592,1.0,0.5,0.336
593,1.0,0.5,0.336
594,1.0,0.0,1.338
595,1.0,0.0,1.347
596,1.0,0.0,1.347
597,1.0,0.0,1.347
598,1.0,0.953703704,1.347
599,1.0,0.907407407,1.347
600,1.0,0.907407407,1.347
601,1.0,0.907407407,1.838
602,1.0,0.907407407,1.838
603,1.0,0.907407407,1.838
604,1.0,0.907407407,1.838
605,1.0,0.907407407,1.838
606,1.0,0.907407407,1.838
607,1.0,0.0,-0.494
608,1.0,0.0,-0.381
609,1.0,0.0,-0.381
610,1.0,0.0,-0.292
611,1.0,0.0,0.074
612,1.0,0.0,0.074
613,1.0,0.736111111,-0.455
614,1.0,0.0,0.019
615,1.0,0.0,0.019
616,1.0,0.359477124,0.019
617,1.0,0.583979328,0.213
618,1.0,0.55308642,-1.324
619,1.0,0.559178744,-2.868
620,1.0,0.449074074,-1.871
622,1.0,0.449074074,-1.622
623,1.0,0.259259259,-1.622
624,1.0,0.0,-0.047
625,1.0,0.0,-0.047
626,1.0,0.305555556,-0.821
627,1.0,0.305555556,-0.821
628,1.0,0.305555556,-0.821
629,1.0,0.458333333,-0.163
630,1.0,0.0,1.575
631,1.0,0.0,1.575
632,1.0,0.0,1.575
633,1.0,0.0,1.575
634,1.0,0.0,1.575
635,1.0,0.0,1.575
636,1.0,0.0,1.575
637,1.0,0.0,1.575
638,1.0,0.0,1.575
639,1.0,0.0,1.575
640,1.0,0.0,1.575
641,1.0,0.0,1.575
642,1.0,0.0,1.575
643,1.0,0.0,1.575
644,1.0,0.0,0.591
645,1.0,0.0,0.591
646,1.0,0.0,0.591
647,1.0,0.0,0.591
648,1.0,0.0,0.591
649,1.0,0.0,0.591
650,1.0,0.0,0.591
651,1.0,0.0,0.591
652,1.0,0.0,0.591
653,1.0,0.0,0.591
654,1.0,0.0,0.845
655,1.0,0.0,0.845
656,1.0,0.0,0.845
657,1.0,0.0,0.636
658,1.0,0.0,0.636
659,1.0,0.0,0.636
660,1.0,0.0,0.685
661,1.0,0.0,0.685
662,1.0,0.0,0.685
663,1.0,0.0,0.685
664,1.0,0.0,0.685
665,1.0,0.402777778,1.329
666,1.0,0.402777778,1.329
667,1.0,0.402777778,1.329
668,1.0,0.402777778,1.329
669,1.0,0.402777778,1.329
670,1.0,0.402777778,1.027
671,1.0,0.402777778,1.027
672,1.0,0.402777778,1.027
673,1.0,0.402777778,1.027
674,1.0,0.402777778,0.221
675,1.0,0.402777778,0.221
676,1.0,0.402777778,0.221
677,1.0,0.0,0.582
678,1.0,0.0,0.607
679,1.0,0.0,0.607
680,1.0,0.0,0.607
681,1.0,0.0,0.607
682,1.0,0.0,0.607
683,1.0,0.0,0.607
684,1.0,0.0,0.607
685,1.0,0.0,0.607
686,1.0,0.0,0.607
687,1.0,0.0,0.607
688,1.0,0.0,0.607
689,1.0,0.0,0.607
690,1.0,0.0,0.607
691,1.0,0.0,0.937
692,1.0,0.0,0.694
693,1.0,0.0,-0.171
694,1.0,0.0,-0.171
695,1.0,0.0,-0.171
696,1.0,0.0,-0.171
697,1.0,0.0,-0.171
698,1.0,0.0,-0.171
699,1.0,0.0,-0.171
700,1.0,0.0,-0.171
701,1.0,0.0,-0.171
702,1.0,0.0,-0.171
703,1.0,0.0,-0.171
704,1.0,0.0,0.279
705,1.0,0.0,0.279
706,1.0,0.0,0.279
707,1.0,0.0,-0.274
708,1.0,0.0,-0.274
709,1.0,0.0,-0.274
710,1.0,0.0,-2.521
711,1.0,0.0,-2.521
712,1.0,0.0,-2.521
713,1.0,0.0,-2.521
714,1.0,0.0,-2.521
715,1.0,0.0,-2.521
716,1.0,0.0,-2.521
717,1.0,0.0,-2.257
718,1.0,0.0,-2.257
719,1.0,0.0,-2.257
720,1.0,0.0,-2.257
721,1.0,0.0,-2.257
722,1.0,0.0,-2.257
723,1.0,0.0,-2.257
724,1.0,0.0,-2.257
725,1.0,0.0,-2.257
726,1.0,0.0,-2.257
727,1.0,0.0,-1.982
728,1.0,0.0,-1.982
729,1.0,0.0,-1.982
730,1.0,0.0,-1.982
731,1.0,0.0,-3.281
732,1.0,0.0,-3.281
733,1.0,0.0,-3.281
734,1.0,0.0,-2.6
735,1.0,0.0,-2.6
736,1.0,0.0,-2.6
737,1.0,0.619047619,-1.36
738,1.0,0.619047619,-1.36
739,1.0,0.619047619,-1.36
740,1.0,0.619047619,-1.36
741,1.0,0.619047619,-1.36
742,1.0,0.619047619,-1.36
743,1.0,0.619047619,-1.36
744,1.0,0.619047619,-1.36
745,1.0,0.619047619,-1.36
746,1.0,0.619047619,-1.36
747,1.0,0.619047619,-1.36
748,1.0,0.0,-0.13
749,1.0,0.0,-0.047
750,1.0,0.0,-0.047
751,1.0,0.0,-0.047
752,1.0,0.755555556,0.06
753,1.0,0.755555556,0.06
754,1.0,0.0,-0.805
755,1.0,0.0,-0.065
756,1.0,0.0,-0.065
757,1.0,0.0,-0.826
758,1.0,0.0,-0.826
759,1.0,0.0,-0.826
760,1.0,0.0,0.67
761,1.0,0.0,0.67
762,1.0,0.0,0.67
763,1.0,0.0,0.67
764,1.0,0.0,-0.059
765,1.0,0.0,-0.059
766,1.0,0.0,-0.059
767,1.0,0.0,-0.059
768,1.0,0.0,-0.059
769,1.0,0.0,-0.059
770,1.0,-0.666666667,-0.059
771,1.0,0.0,-0.059
772,1.0,0.0,-0.307
773,1.0,0.0,-0.307
774,1.0,0.0,-0.307
775,1.0,0.0,-0.307
776,1.0,0.0,0.276
777,1.0,0.0,0.276
778,1.0,0.0,0.276
779,1.0,0.0,0.276
780,1.0,0.0,0.276
781,1.0,0.0,0.276
782,1.0,0.0,0.276
783,1.0,0.0,0.228
784,1.0,0.0,0.228
785,1.0,0.0,0.228
786,1.0,0.0,0.228
787,1.0,0.0,0.228
788,1.0,0.0,0.228
789,1.0,0.0,0.228
790,1.0,0.0,0.228
791,1.0,0.0,0.228
792,1.0,0.0,0.228
793,1.0,0.0,0.228
794,1.0,0.0,0.228
795,1.0,0.0,0.228
796,1.0,0.0,0.228
797,1.0,0.0,0.228
798,1.0,0.0,0.228
799,1.0,0.0,0.228
800,1.0,0.0,0.228
801,1.0,0.0,0.228
802,1.0,0.0,0.228
803,1.0,0.0,0.228
804,1.0,0.0,0.228
805,1.0,0.0,0.228
806,1.0,0.0,0.228
807,1.0,0.0,0.228
808,1.0,0.0,0.228
809,1.0,0.0,0.228
810,1.0,0.0,0.228
811,1.0,0.0,0.228
812,1.0,0.0,0.228
813,1.0,0.0,0.228
814,1.0,0.0,0.228
815,1.0,0.0,0.228
816,1.0,0.0,0.228
817,1.0,0.0,0.228
818,1.0,0.0,0.228
819,1.0,0.0,0.228
820,1.0,0.0,0.228
821,1.0,0.0,0.228
822,1.0,0.0,0.228
823,1.0,0.0,0.228
824,1.0,0.0,0.228
825,1.0,0.0,0.228
826,1.0,0.0,0.228
827,1.0,0.0,0.228
828,1.0,0.0,0.228
829,1.0,0.0,0.228
830,1.0,0.0,0.228
831,1.0,0.0,0.228
832,1.0,0.0,0.228
833,1.0,0.0,0.228
834,1.0,0.0,0.228
835,1.0,0.0,0.228
836,1.0,0.0,0.228
837,1.0,0.0,0.228
838,1.0,0.0,0.228
839,1.0,0.0,0.228
840,1.0,0.0,0.228
841,1.0,0.0,0.228
842,1.0,0.0,0.228
843,1.0,0.0,0.228
844,1.0,0.0,0.228
845,1.0,0.0,0.228
846,1.0,0.0,0.228
847,1.0,0.0,0.228
848,1.0,0.0,0.228
849,1.0,0.0,0.228
850,1.0,0.0,0.228
851,1.0,0.0,0.228
852,1.0,0.0,0.228
853,1.0,0.0,0.228
854,1.0,0.0,0.228
855,1.0,0.0,0.228
856,1.0,0.0,0.228
857,1.0,0.0,0.228
858,1.0,0.0,0.228
859,1.0,0.0,0.228
860,1.0,0.0,0.228
861,1.0,0.0,0.228
862,1.0,0.0,0.228
863,1.0,0.0,0.228
864,1.0,0.0,0.228
865,1.0,0.0,0.228
866,1.0,0.0,0.228
867,1.0,0.0,0.228
868,1.0,0.0,0.228
869,1.0,0.0,0.228
870,1.0,0.0,0.228
871,1.0,1.0,0.228
872,1.0,1.0,0.228
873,1.0,1.0,0.228
874,1.0,1.0,0.228
875,1.0,1.0,0.228
876,1.0,1.0,0.228
877,1.0,1.0,0.228
878,1.0,1.0,0.228
879,1.0,1.0,0.228
880,1.0,1.0,0.228
881,1.0,1.0,0.228
882,1.0,1.0,0.228
883,1.0,1.0,0.228
884,1.0,1.0,0.228
885,1.0,1.0,0.228
886,1.0,1.0,0.228
887,1.0,1.0,0.228
888,1.0,1.0,0.228
889,1.0,1.0,0.228
890,1.0,1.0,0.228
891,1.0,1.0,0.228
892,1.0,1.0,0.228
893,1.0,1.0,0.228
894,1.0,1.0,0.228
895,1.0,1.0,0.422
896,1.0,1.0,0.422
897,1.0,1.0,0.422
898,1.0,1.0,0.422
899,1.0,1.0,0.422
900,1.0,1.0,0.422
901,1.0,1.0,0.422
902,1.0,1.0,0.422
903,1.0,1.0,0.422
904,1.0,1.0,0.422
905,1.0,1.0,0.422
906,1.0,1.0,0.422
907,1.0,1.0,0.422
908,1.0,1.0,0.422
909,1.0,1.0,0.422
910,1.0,1.0,0.422
911,1.0,1.0,0.422
912,1.0,1.0,0.422
913,1.0,1.0,0.422
914,1.0,1.0,0.422
915,1.0,1.0,0.422
916,1.0,1.0,0.422
917,1.0,1.0,0.422
918,1.0,1.0,0.422
919,1.0,1.0,0.422
920,1.0,1.0,0.422
921,1.0,1.0,0.422
922,1.0,1.0,0.422
923,1.0,1.0,0.422
924,1.0,1.0,0.422
925,1.0,1.0,0.422
