,Intercept,wdj_expression_lag1,v2jupack_lag1,v2x_polyarchy_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1
174,1.0,-0.037037037,1.0,0.478,1.348,0.0,0.0,0.0,0.9
175,1.0,0.0,1.24,0.528,0.933,0.0,0.0,0.0,0.972
176,1.0,0.0,0.581,0.48,1.314,0.0,0.0,1.0,1.003
177,1.0,0.633986928,0.147,0.321,0.441,0.0,0.0,0.0,-0.101
179,1.0,0.633986928,0.147,0.325,0.441,0.0,0.0,0.0,-0.238
180,1.0,0.633986928,0.246,0.333,0.441,0.0,0.0,1.0,-0.361
181,1.0,0.633986928,1.238,0.425,0.441,0.0,0.0,1.0,0.789
182,1.0,0.763888889,0.707,0.778,0.879,0.0,0.0,0.0,0.687
183,1.0,0.763888889,0.442,0.777,0.879,0.0,0.0,1.0,0.904
185,1.0,0.814814815,0.442,0.754,0.879,0.0,0.0,1.0,0.904
186,1.0,0.814814815,1.044,0.767,0.031,0.0,0.0,1.0,0.696
187,1.0,0.711111111,-0.039,0.355,-0.761,0.0,0.0,0.0,-0.24
188,1.0,0.711111111,-0.039,0.357,-0.761,0.0,0.0,0.0,-0.24
189,1.0,0.711111111,-0.109,0.37,-0.484,0.0,0.0,0.0,-0.176
191,1.0,0.0,-0.156,0.081,-0.104,0.0,0.0,0.0,-0.975
192,1.0,0.0,0.43,0.655,1.036,0.0,0.0,1.0,1.874
193,1.0,0.0,0.49,0.656,1.036,0.0,0.0,0.0,1.555
194,1.0,0.0,1.062,0.682,1.036,0.0,0.0,1.0,1.406
196,1.0,0.0,1.047,0.685,1.67,0.0,0.0,1.0,1.257
199,1.0,0.0,1.055,0.481,1.421,0.0,0.0,0.0,0.586
200,1.0,0.0,1.055,0.506,1.421,0.0,0.0,0.0,0.586
201,1.0,0.953703704,1.055,0.554,1.421,0.0,0.0,0.0,0.677
203,1.0,0.907407407,1.195,0.555,1.421,0.0,0.0,0.0,0.879
204,1.0,0.907407407,0.79,0.52,1.421,0.0,0.0,0.0,0.879
206,1.0,0.907407407,1.226,0.488,1.421,0.0,0.0,0.0,0.842
209,1.0,0.0,-1.24,0.203,0.765,0.0,0.0,0.0,-0.662
210,1.0,0.0,1.066,0.451,1.109,0.0,0.0,1.0,-0.011
211,1.0,0.0,1.19,0.466,1.579,0.0,0.0,0.0,-0.141
212,1.0,0.0,0.746,0.47,1.579,0.0,0.0,0.0,-0.164
213,1.0,0.0,0.746,0.469,1.579,0.0,0.0,0.0,-0.164
214,1.0,0.0,1.228,0.419,1.757,0.0,0.0,1.0,0.697
215,1.0,0.0,1.398,0.395,1.757,0.0,0.0,0.0,-0.23
216,1.0,0.0,1.398,0.368,1.757,0.0,0.0,1.0,0.001
219,1.0,0.0,-0.996,0.235,1.298,0.0,0.0,1.0,-0.337
220,1.0,0.0,0.119,0.552,1.298,0.0,0.0,1.0,0.474
221,1.0,0.0,0.207,0.463,1.298,0.0,0.0,1.0,0.488
